id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12797603,Bright and airy new apartment,69714149,Megan,,Darebin,-37.7781,144.991,Entire home/apt,115,3,9,2017-09-16,0.12,1,0,0,
13265706,Ascot Vale Close to City.,74711852,Anthony,,Moonee Valley,-37.78206,144.90429,Entire home/apt,90,7,0,,,1,0,0,
12797768,Clean And Comfy New House,16319616,Airin,,Wyndham,-37.84057,144.74145,Entire home/apt,142,1,28,2017-09-28,0.39,4,0,0,
12798179,Brilliant 2 bedroom home in St Kilda East,4235674,Patrick,,Glen Eira,-37.8697,145.00612,Entire home/apt,99,14,9,2019-08-03,0.12,1,0,0,
13265886,Admire the Unique Mural at a Colourful Rooftop Residence,53856002,Stafford,,Yarra,-37.8049,144.98376,Entire home/apt,110,2,89,2021-04-29,1.22,1,0,0,
13265905,Cosy room in Southbank,40825586,Lyena,,Melbourne,-37.82295,144.96521,Private room,50,1,15,2017-02-07,0.21,1,0,0,
13159453,Amazing View from two story home,73481938,Alana,,Wyndham,-37.90887,144.73108,Private room,80,1,0,,,1,365,0,
12799620,Explore Fitzroy St's Cafe Culture from a Chic Home,6933336,Tottie,,Port Phillip,-37.85931,144.98065,Entire home/apt,164,1,70,2020-06-27,0.95,1,0,0,
13162417,In the heart of Bentleigh,50562044,Ruby,,Glen Eira,-37.9086,145.03473,Private room,30,1,1,2016-06-01,0.01,1,0,0,
13174867,"Spacious One Bedroom Apartment, St Kilda",32912420,Alfie,,Port Phillip,-37.87151,144.99139,Entire home/apt,70,7,0,,,3,0,0,
13266069,Designer 2 bedroom apartment in Hawthorn,5424366,Drew,,Boroondara,-37.8276,145.02819,Entire home/apt,100,2,2,2016-07-07,0.03,1,0,0,
12800373,"Amazing city views, Myki cards + more!!",58974898,Lizzie,,Moonee Valley,-37.768,144.92728,Private room,69,1,87,2019-12-14,1.18,1,248,0,
13271480,Beautiful home#GORGEOUS Views#Charming character!,74773970,Ash,,Monash,-37.93197,145.20474,Entire home/apt,330,2,0,,,1,173,0,
